current_body_type,goal_body_type,age,height,weight,sleep_hours,exercise_frequency,daily_steps,alcohol_consumption,smoking,calorie_intake,protein_intake,fat_intake,BMI,activity_level,recommended_calories,recommended_protein,recommended_fat,recommended_carbs
normal,muscle_gain,52,184,51.9,6.5,6,11572,0,1,2909,47.6,94.8,15.33,sedentary,2096,110.3,54.2,291.8
skinny,muscle_gain,28,157,99.3,8.9,1,8528,0,1,2205,121.3,54.3,40.29,active,3611,169.6,101.7,504.3
normal,muscle_gain,34,172,78.8,8.1,0,11114,0,0,2733,92.9,66.6,26.64,moderate,3083,160.9,77.5,435.5
normal,fat_loss,24,185,67.6,8.9,1,2238,0,1,1800,56.3,74.1,19.75,sedentary,1661,139.0,44.4,176.4
overweight,muscle_gain,55,188,68.1,5.8,2,8347,1,0,2955,101.1,96.5,19.27,light,2555,126.6,72.9,348.1
normal,recomposition,50,180,104.4,8.6,5,3938,1,0,1843,129.6,64.3,32.22,sedentary,2303,222.7,54.3,230.9
normal,muscle_gain,32,167,104.7,6.2,2,4154,0,1,3136,124.7,115.0,37.54,moderate,3395,177.9,110.9,421.3
skinny,muscle_gain,42,159,96.2,5.5,2,7639,1,1,2875,89.4,109.9,38.05,active,3351,189.1,86.8,453.4
normal,muscle_gain,31,190,87.1,6.2,6,2481,1,1,2225,87.3,105.0,24.13,active,3687,170.6,106.5,511.5
skinny,muscle_gain,38,160,51.3,8.3,1,10755,0,1,3157,51.4,101.0,20.04,sedentary,1948,85.2,58.5,270.2
overweight,muscle_gain,21,150,93.2,6.6,5,5028,0,0,3092,116.3,94.3,41.42,light,2851,176.8,76.8,363.1
overweight,muscle_gain,35,184,86.8,7.9,4,7677,1,1,2053,110.1,61.9,25.64,light,2929,146.2,93.1,376.6
skinny,fat_loss,24,175,52.5,7.0,3,8033,0,1,3082,61.4,94.6,17.14,moderate,1938,93.7,45.1,289.3
skinny,muscle_gain,46,179,65.0,6.9,6,7998,0,1,3023,85.3,109.7,20.29,active,3037,108.4,94.1,439.1
normal,muscle_gain,47,157,68.2,6.2,6,11356,1,0,1851,65.6,85.7,27.67,light,2277,118.2,53.8,330.0
normal,fat_loss,31,176,50.4,8.2,5,5293,0,0,2508,71.7,106.8,16.27,active,2066,82.7,64.1,289.6
normal,recomposition,48,184,75.9,5.0,6,11090,1,0,2238,67.2,98.4,22.42,sedentary,2012,136.3,59.5,232.8
normal,muscle_gain,38,164,76.4,8.2,4,2819,0,0,2063,76.1,76.7,28.41,active,3088,155.9,83.8,427.6
normal,fat_loss,42,160,83.5,6.6,0,7085,0,0,3044,103.6,80.1,32.62,moderate,2139,136.2,61.5,260.2
skinny,recomposition,55,151,89.8,5.4,4,11757,1,1,2543,86.5,115.2,39.38,sedentary,1967,162.0,45.8,226.7
normal,muscle_gain,23,184,83.6,7.7,2,6710,0,1,2666,121.8,108.8,24.69,moderate,3364,170.1,96.5,453.8
overweight,recomposition,46,160,81.5,8.5,6,14699,1,1,2855,72.4,86.3,31.84,moderate,2392,171.6,54.5,303.8
normal,recomposition,27,154,73.7,7.3,5,10827,0,0,2695,105.8,81.6,31.08,light,2078,138.4,67.6,229.0
normal,muscle_gain,55,183,64.5,8.9,2,3620,1,0,2532,69.3,86.6,19.26,light,2409,110.3,59.4,358.3
overweight,fat_loss,19,163,79.3,6.4,3,10787,0,0,2968,67.9,116.2,29.85,active,2584,154.3,82.9,305.2
normal,muscle_gain,19,189,87.7,8.5,6,13798,0,0,2318,79.2,110.3,24.55,sedentary,2769,171.1,68.3,367.5
overweight,fat_loss,41,155,85.8,7.6,5,10267,0,1,2073,109.1,51.4,35.71,moderate,2031,143.5,58.1,233.5
skinny,recomposition,55,155,45.7,8.8,4,4058,1,1,2289,44.3,79.9,19.02,moderate,1837,74.7,51.7,268.2
skinny,muscle_gain,52,156,100.6,7.9,0,6643,1,0,2800,95.0,54.9,41.34,light,2760,217.3,85.7,279.9
overweight,muscle_gain,51,181,58.4,8.0,1,9206,0,0,2595,55.3,66.9,17.83,active,2985,95.6,66.6,500.8
overweight,muscle_gain,39,184,65.9,8.5,6,9048,0,1,2731,56.7,73.4,19.46,active,3190,137.9,79.4,480.9
skinny,muscle_gain,49,186,57.1,6.4,0,3659,1,1,2724,79.2,113.8,16.5,sedentary,2212,108.0,60.4,309.1
normal,fat_loss,28,184,83.6,9.0,5,8196,1,0,2047,71.7,106.5,24.69,moderate,2504,137.2,75.3,319.4
normal,recomposition,44,154,47.3,5.4,5,9566,1,0,2373,46.6,118.3,19.94,moderate,1822,76.7,54.0,257.3
normal,fat_loss,52,150,53.8,8.9,0,6326,0,1,1988,75.3,111.1,23.91,active,1738,106.5,51.7,211.7
overweight,muscle_gain,47,157,79.4,7.3,4,7193,0,0,2385,85.9,98.7,32.21,sedentary,2322,168.0,67.8,260.0
normal,muscle_gain,18,186,56.3,7.0,6,6558,1,1,2997,54.4,108.2,16.27,sedentary,2352,108.2,75.6,309.7
skinny,muscle_gain,26,181,53.0,6.1,1,2348,1,0,2885,70.8,52.5,16.18,moderate,2759,114.9,79.4,396.2
overweight,fat_loss,51,154,78.0,5.8,3,9261,1,0,2366,103.9,81.5,32.89,light,1688,129.2,51.0,178.1
skinny,recomposition,18,189,104.4,8.8,2,5162,1,0,2354,109.0,105.1,29.23,light,2852,224.9,65.5,340.7
normal,fat_loss,28,164,103.1,7.4,5,12688,1,1,2175,102.7,51.4,38.33,sedentary,1824,207.7,54.5,125.7
skinny,recomposition,35,156,81.7,5.6,2,14792,0,0,2800,83.1,116.8,33.57,active,2733,137.8,69.1,390.0
overweight,muscle_gain,47,151,83.2,7.9,3,4474,1,1,2056,88.3,119.4,36.49,light,2501,172.7,60.7,316.0
skinny,fat_loss,18,166,99.1,7.8,5,5505,0,1,1849,100.5,86.8,35.96,sedentary,2007,199.4,49.4,191.2
skinny,fat_loss,48,150,54.7,6.6,5,12695,0,0,2632,73.6,66.6,24.31,sedentary,1200,111.2,27.6,126.7
normal,recomposition,41,162,71.6,7.2,0,2163,1,1,1842,62.1,67.0,27.28,moderate,2354,155.6,67.0,282.1
overweight,muscle_gain,18,151,96.9,5.9,3,3465,0,0,2024,84.9,87.8,42.5,light,2910,188.0,88.7,339.9
normal,recomposition,48,154,87.6,7.0,1,3965,0,1,2840,118.7,119.9,36.94,moderate,2413,170.1,68.3,279.5
skinny,fat_loss,22,180,99.2,6.8,2,6012,1,0,2210,134.0,113.2,30.62,moderate,2771,180.2,64.4,367.6
overweight,recomposition,43,150,54.4,5.7,4,6421,0,0,2616,55.1,107.6,24.18,sedentary,1546,115.9,40.8,178.8
skinny,fat_loss,19,163,88.8,6.7,5,7785,1,0,2372,111.5,92.2,33.42,active,2757,180.5,62.0,369.2
normal,fat_loss,26,167,106.6,8.3,2,11573,1,0,1948,128.2,57.7,38.22,light,2292,207.7,72.4,202.4
normal,muscle_gain,28,177,80.1,6.6,6,13519,1,1,2907,115.0,86.0,25.57,active,3464,134.3,94.8,518.4
normal,recomposition,21,150,77.5,6.1,3,6240,0,0,3167,67.9,52.3,34.44,sedentary,1909,152.8,54.5,201.8
overweight,recomposition,23,177,64.6,5.2,4,14074,0,1,2967,87.2,118.6,20.62,light,2229,124.3,62.2,293.0
normal,muscle_gain,35,178,106.4,5.2,1,3921,0,1,2062,138.3,50.7,33.58,active,3777,233.9,92.3,502.7
skinny,fat_loss,49,159,101.3,6.4,2,2024,0,0,1825,117.8,67.4,40.07,sedentary,1746,207.3,58.1,98.5
normal,fat_loss,47,165,83.6,7.4,0,10456,0,0,2917,68.2,116.8,30.71,active,2501,153.0,76.5,300.1
normal,fat_loss,27,165,54.0,7.0,3,14159,1,0,2220,80.6,116.6,19.83,moderate,1793,100.2,59.8,213.5
skinny,muscle_gain,42,165,47.6,5.1,4,11658,1,0,3046,62.2,67.1,17.48,sedentary,1976,78.5,46.0,312.0
overweight,fat_loss,23,170,51.0,7.4,5,8051,1,1,2010,41.4,94.5,17.65,moderate,1796,82.0,47.2,260.8
normal,recomposition,38,165,63.1,6.6,3,7269,1,1,3008,69.6,60.4,23.18,moderate,2202,104.6,62.4,305.5
overweight,fat_loss,35,151,97.7,7.8,4,3500,0,0,2635,130.6,117.8,42.85,active,2682,212.7,71.3,297.4
normal,fat_loss,20,183,67.5,8.5,3,6293,1,0,2692,63.1,71.8,20.16,moderate,2315,121.9,63.1,314.9
skinny,recomposition,18,168,50.7,7.5,6,11175,0,1,2761,73.9,94.0,17.96,sedentary,1827,110.8,47.6,238.8
overweight,fat_loss,19,168,88.3,8.6,0,2519,0,1,1877,97.0,51.6,31.29,light,2213,148.1,55.1,281.2
overweight,recomposition,27,179,50.6,5.4,5,4879,0,0,1896,43.7,52.1,15.79,active,2545,109.7,76.8,353.8
normal,recomposition,18,181,92.8,6.7,2,5676,1,1,3158,94.1,62.4,28.33,sedentary,2305,203.0,62.0,233.8
skinny,fat_loss,32,190,64.5,8.3,0,3754,0,1,2498,85.2,93.8,17.87,moderate,2248,140.5,57.7,291.7
overweight,fat_loss,27,166,60.3,7.2,3,3361,1,1,3116,80.2,102.5,21.88,light,1744,126.4,51.7,193.3
overweight,muscle_gain,29,175,74.4,5.0,3,8853,1,1,2998,73.9,55.4,24.29,light,2793,158.3,89.5,338.6
normal,fat_loss,44,184,73.7,8.4,2,14945,1,1,2609,91.9,75.3,21.77,light,1990,136.2,64.8,215.5
normal,muscle_gain,50,169,77.5,6.9,2,4385,0,0,2230,78.7,79.3,27.13,light,2670,159.1,75.6,338.3
normal,muscle_gain,25,159,50.6,8.2,3,6141,1,0,1824,54.6,98.4,20.02,light,2269,100.5,52.6,348.4
normal,fat_loss,25,156,88.6,7.4,6,5204,0,0,3000,97.5,71.5,36.41,sedentary,1703,177.8,52.8,129.1
overweight,fat_loss,50,182,97.4,7.9,4,10467,1,1,2367,137.0,51.3,29.4,active,2894,203.6,96.2,303.4
overweight,fat_loss,29,155,55.5,8.5,2,5212,1,0,3008,49.0,78.1,23.1,light,1523,109.2,49.9,159.3
skinny,fat_loss,45,150,98.5,6.0,1,3646,1,0,1887,127.0,57.4,43.78,light,1926,190.1,55.5,166.5
skinny,fat_loss,21,155,50.8,6.1,0,5438,1,1,2850,58.3,56.9,21.14,sedentary,1233,104.5,35.0,125.0
overweight,recomposition,20,156,102.5,8.0,1,14461,1,0,1937,128.5,109.2,42.12,moderate,3014,192.7,84.5,370.7
overweight,fat_loss,41,150,85.9,5.3,3,7582,0,1,1831,124.2,89.1,38.18,sedentary,1442,182.1,39.2,90.2
skinny,muscle_gain,18,180,53.9,6.9,6,2921,0,1,2397,64.0,85.8,16.64,sedentary,2393,106.1,79.1,314.2
normal,muscle_gain,27,158,103.1,7.7,6,11635,1,1,2549,117.5,108.6,41.3,sedentary,2576,192.6,69.2,295.7
normal,recomposition,24,150,56.8,6.1,0,13038,1,1,1820,71.3,96.8,25.24,sedentary,1643,97.5,50.5,199.6
normal,recomposition,31,175,107.7,5.6,6,3991,1,0,2572,150.0,68.2,35.17,active,3555,202.8,94.4,473.5
skinny,muscle_gain,46,172,49.3,7.5,0,6028,1,0,2830,68.4,112.6,16.66,sedentary,1948,90.4,43.4,298.9
normal,fat_loss,18,163,57.8,5.2,6,12629,1,0,2668,81.3,90.5,21.75,sedentary,1441,111.3,36.7,166.4
skinny,muscle_gain,22,164,46.5,6.2,0,14101,1,0,1865,40.5,113.8,17.29,light,2300,87.7,60.4,351.4
skinny,muscle_gain,53,174,90.4,6.6,6,6015,0,1,1930,92.9,107.4,29.86,sedentary,2571,159.6,71.4,322.5
normal,muscle_gain,34,159,76.9,8.3,4,14898,1,0,2572,78.8,103.5,30.42,light,2524,129.4,77.7,326.8
overweight,fat_loss,46,181,66.4,5.4,1,11703,1,1,2307,60.3,109.8,20.27,moderate,1970,108.1,58.5,252.8
overweight,muscle_gain,47,160,59.8,6.5,1,6843,1,1,2391,67.2,59.9,23.36,moderate,2511,98.0,58.6,397.9
overweight,muscle_gain,47,163,49.0,7.0,0,7925,1,1,2473,64.0,65.2,18.44,light,2182,87.8,72.2,295.2
overweight,muscle_gain,51,151,95.5,8.6,2,3194,1,1,2336,87.2,62.1,41.88,light,2633,197.0,70.1,303.5
normal,muscle_gain,51,175,108.8,8.6,1,11093,1,0,2150,87.8,95.7,35.53,active,3728,218.7,88.8,513.5
overweight,fat_loss,22,163,106.3,5.8,4,8568,1,1,2645,101.3,87.0,40.01,moderate,2579,202.2,70.9,283.0
skinny,fat_loss,21,176,103.2,7.8,6,6313,1,0,2892,138.7,68.2,33.32,moderate,2761,213.9,82.4,290.9
normal,fat_loss,27,180,58.0,6.7,0,7363,1,1,2068,73.0,72.5,17.9,moderate,2026,94.8,55.7,286.4
skinny,recomposition,47,181,91.2,6.4,1,9148,0,0,2006,84.5,64.7,27.84,moderate,2813,186.9,66.6,366.5
skinny,fat_loss,31,161,48.9,5.7,5,4412,1,0,2962,61.4,84.3,18.87,active,1865,81.8,51.6,268.4
normal,muscle_gain,45,160,48.7,6.2,4,10899,1,0,2607,46.9,76.2,19.02,active,2511,102.3,82.5,339.8
overweight,recomposition,18,163,83.0,8.2,1,2484,0,1,1933,123.3,68.6,31.24,sedentary,2189,152.6,60.7,258.1
skinny,fat_loss,22,153,72.4,5.1,0,9382,1,0,3093,80.5,104.5,30.93,active,2330,145.6,76.1,265.7
normal,muscle_gain,36,187,57.9,5.7,6,9517,0,1,2993,81.3,80.8,16.56,light,2606,102.3,70.8,389.9
normal,fat_loss,33,185,45.3,5.9,4,2532,1,1,3033,55.8,92.9,13.24,light,1552,81.3,46.5,202.1
overweight,fat_loss,32,188,59.6,6.8,1,14420,1,0,3052,52.6,77.1,16.86,light,1833,118.7,46.8,234.2
overweight,muscle_gain,54,177,48.9,8.3,5,8877,1,1,2435,44.8,95.1,15.61,light,2220,106.9,63.8,304.6
normal,fat_loss,34,189,93.7,7.3,0,9416,0,1,2847,140.1,102.7,26.23,active,3064,159.5,86.7,411.4
skinny,muscle_gain,24,186,107.4,8.4,4,2761,0,0,3034,103.8,52.3,31.04,moderate,3654,206.8,118.3,440.5
skinny,fat_loss,55,164,56.3,5.6,1,6051,0,0,2300,46.6,106.7,20.93,light,1346,117.3,35.1,140.2
skinny,muscle_gain,21,157,85.2,7.9,2,6647,1,0,2773,80.6,63.6,34.57,moderate,3184,148.9,101.7,418.3
normal,recomposition,36,165,70.6,5.7,3,4166,0,0,1971,97.6,105.2,25.93,light,2240,124.4,53.8,314.6
skinny,fat_loss,55,153,73.9,6.3,4,8435,1,0,2139,84.8,63.9,31.57,light,1536,138.6,44.2,145.9
overweight,fat_loss,35,160,49.3,5.1,1,11753,1,0,2278,73.5,56.8,19.26,active,1949,84.2,53.0,283.8
normal,muscle_gain,32,156,76.3,5.9,3,4098,1,1,2734,88.2,114.2,31.35,light,2540,139.6,81.8,311.4
skinny,recomposition,27,151,102.9,6.7,3,14557,0,0,2723,145.7,113.2,45.13,light,2513,218.6,63.4,267.0
skinny,muscle_gain,30,160,90.8,5.3,5,5772,1,1,2179,118.4,59.8,35.47,sedentary,2563,180.1,65.5,313.3
normal,recomposition,21,183,100.3,6.9,4,9552,0,1,2324,132.3,110.2,29.95,light,2753,218.9,76.5,297.2
overweight,fat_loss,33,166,85.8,7.7,5,10842,0,0,2880,97.7,52.9,31.14,moderate,2264,169.9,71.2,235.9
skinny,muscle_gain,30,163,102.2,8.0,4,11659,1,1,2032,115.2,88.0,38.47,sedentary,2648,222.4,66.9,289.1
normal,recomposition,51,171,86.4,8.1,2,14046,0,0,2794,98.0,78.3,29.55,active,2846,139.2,79.3,393.9
overweight,muscle_gain,43,180,53.1,7.3,1,7937,1,0,1912,64.2,61.8,16.39,moderate,2581,90.5,82.3,369.6
normal,muscle_gain,18,156,79.7,6.4,6,12873,1,0,2573,74.3,103.2,32.75,light,2665,158.4,61.9,368.6
skinny,recomposition,28,160,61.0,6.1,2,11334,0,0,2352,84.3,81.0,23.83,active,2478,112.6,55.1,382.9
normal,recomposition,39,153,107.6,6.4,1,5032,0,1,1826,103.5,55.2,45.97,sedentary,2298,221.2,65.7,205.5
normal,fat_loss,33,173,94.6,7.2,1,4203,0,1,3129,90.4,109.7,31.61,sedentary,1763,154.0,58.1,156.0
skinny,recomposition,51,159,75.0,7.6,2,8553,1,1,2963,62.9,118.3,29.67,active,2509,137.6,61.8,350.6
normal,muscle_gain,51,172,45.7,7.3,1,9586,0,0,2422,50.2,60.3,15.45,sedentary,1895,91.6,46.4,277.8
overweight,fat_loss,30,176,52.5,7.6,6,12112,1,1,2219,76.5,100.1,16.95,active,2154,95.0,69.4,287.4
overweight,muscle_gain,36,157,104.5,5.8,1,9600,1,1,3131,149.0,102.6,42.4,active,3601,221.0,88.4,480.4
normal,muscle_gain,34,188,64.0,7.5,0,6545,1,0,1940,75.9,51.4,18.11,moderate,2879,134.5,79.8,405.7
normal,muscle_gain,54,162,56.2,7.8,0,4763,1,0,2880,48.0,84.7,21.41,moderate,2385,99.0,64.4,352.4
normal,muscle_gain,39,162,77.6,6.6,2,9350,0,0,2843,82.6,103.3,29.57,moderate,2884,150.2,65.4,423.6
skinny,recomposition,47,161,57.9,6.7,5,6361,0,0,2117,81.8,93.8,22.34,moderate,2080,109.4,68.0,257.6
overweight,fat_loss,29,155,70.4,6.1,2,14783,0,0,2547,69.2,79.9,29.3,active,2265,133.3,66.6,283.1
normal,fat_loss,44,156,64.1,6.8,4,6291,1,0,2818,55.0,102.7,26.34,active,1950,139.6,50.9,233.4
normal,recomposition,44,166,103.2,8.4,1,13131,1,0,2314,104.0,98.6,37.45,sedentary,2257,188.2,63.1,234.1
skinny,recomposition,54,152,106.0,5.6,3,13399,0,0,2268,136.6,95.5,45.88,moderate,2747,194.1,69.9,335.4
overweight,fat_loss,33,173,71.8,8.5,0,7528,0,0,2173,78.8,85.6,23.99,active,2473,116.0,68.2,348.8
skinny,recomposition,46,163,46.4,6.6,5,14967,0,0,2388,66.0,83.3,17.46,light,1776,92.1,54.8,228.6
overweight,recomposition,19,182,74.4,7.6,3,7391,0,1,2342,98.7,90.1,22.46,sedentary,2101,132.6,65.7,244.8
overweight,muscle_gain,50,189,101.4,7.0,3,8550,0,1,2981,126.3,90.0,28.39,sedentary,2675,212.6,80.1,275.9
overweight,recomposition,21,166,87.1,7.2,6,13471,0,1,1841,93.5,63.1,31.61,active,3034,179.2,81.0,397.1
overweight,recomposition,28,186,105.5,7.7,0,9775,0,0,2742,126.2,87.6,30.49,sedentary,2439,199.9,69.4,253.7
normal,recomposition,44,170,107.8,8.1,6,5823,1,0,2547,148.3,71.6,37.3,sedentary,2277,183.6,65.5,238.3
overweight,fat_loss,28,151,58.4,7.8,4,13255,0,0,2223,87.2,92.1,25.61,moderate,1854,97.4,48.6,256.8
overweight,muscle_gain,54,189,108.6,6.8,3,11810,0,0,2065,114.8,119.7,30.4,active,3888,184.3,129.6,496.1
overweight,fat_loss,32,185,104.3,8.0,2,12791,0,0,2452,122.8,79.0,30.47,sedentary,2025,220.7,45.1,184.1
normal,recomposition,42,167,88.1,7.7,2,12570,0,0,3035,106.3,100.6,31.59,moderate,2601,188.6,76.7,289.1
skinny,recomposition,23,171,45.1,8.8,6,2759,0,1,2377,45.5,81.2,15.42,light,1850,77.7,51.7,268.5
normal,fat_loss,52,152,78.6,8.6,6,3074,1,0,2640,85.7,62.2,34.02,light,1539,139.7,39.3,156.6
overweight,recomposition,51,170,93.9,5.1,6,2315,1,0,3131,87.2,95.3,32.49,moderate,2775,165.8,64.0,383.9
skinny,muscle_gain,52,150,72.5,7.4,0,13783,1,0,2348,58.8,52.3,32.22,active,2761,152.6,68.7,383.1
normal,muscle_gain,25,179,48.7,8.0,1,8902,0,1,2256,59.2,94.1,15.2,light,2389,96.7,62.0,361.1
normal,fat_loss,51,181,103.5,5.3,0,14055,1,0,2100,126.0,91.0,31.59,moderate,2631,225.0,71.9,271.0
skinny,recomposition,33,150,56.9,8.6,4,9394,1,0,2708,63.4,59.2,25.29,active,2415,101.1,63.7,359.3
overweight,fat_loss,26,169,47.7,6.4,5,14518,1,1,2905,64.2,69.5,16.7,active,2125,104.1,67.9,274.4
skinny,recomposition,35,182,80.5,5.5,6,13744,1,1,2187,104.5,78.8,24.3,moderate,2697,175.2,66.9,348.5
overweight,fat_loss,20,174,71.2,6.9,6,12238,1,1,2321,72.4,107.2,23.52,light,1873,152.6,44.4,215.8
skinny,muscle_gain,21,166,57.1,7.1,1,4716,1,0,2357,84.3,116.4,20.72,active,3047,111.3,73.7,484.6
skinny,muscle_gain,40,174,84.7,7.4,4,12769,0,0,3011,91.5,86.0,27.98,active,3481,160.7,101.0,482.3
overweight,muscle_gain,41,177,45.8,5.5,2,10604,0,0,1933,43.1,87.0,14.62,light,2223,100.1,64.2,311.2
overweight,recomposition,27,158,71.2,5.1,0,6744,1,0,3101,64.3,93.2,28.52,active,2798,154.2,91.9,338.5
normal,fat_loss,37,164,100.4,8.5,5,11240,0,0,2085,137.4,84.7,37.33,sedentary,1880,214.9,59.4,121.4
normal,fat_loss,48,158,47.2,7.5,3,12558,1,1,2215,38.1,93.5,18.91,light,1202,93.9,27.5,144.7
overweight,fat_loss,29,164,66.9,5.9,4,9937,1,1,2582,82.6,58.8,24.87,moderate,1963,144.8,61.7,207.1
skinny,muscle_gain,52,152,87.2,8.4,3,10748,0,0,2144,126.8,81.4,37.74,moderate,2832,160.9,92.4,339.2
normal,fat_loss,45,186,66.7,6.9,6,14525,1,0,2487,59.0,61.4,19.28,moderate,2137,145.3,63.1,247.0
normal,fat_loss,48,189,65.5,6.6,0,2849,1,1,1902,97.8,74.5,18.34,light,1844,121.3,56.5,212.6
overweight,muscle_gain,29,152,54.5,6.3,4,14193,0,0,2093,45.1,70.9,23.59,light,2210,113.7,70.0,281.3
normal,fat_loss,37,167,100.0,6.1,4,2001,1,1,2849,117.4,110.6,35.86,active,2716,173.5,90.1,302.8
overweight,fat_loss,18,180,71.9,5.3,6,11966,0,1,1925,92.5,117.3,22.19,moderate,2384,152.3,68.7,289.1
overweight,fat_loss,23,167,67.9,5.8,2,2606,0,1,2284,89.6,101.0,24.35,moderate,2175,121.7,68.5,267.9
normal,fat_loss,34,167,91.7,7.5,5,7992,0,0,2949,73.5,70.0,32.88,active,2647,160.2,83.2,314.4
overweight,recomposition,18,169,65.7,6.2,4,6526,0,0,2049,89.5,51.7,23.0,light,2191,128.3,58.3,288.3
overweight,recomposition,28,152,60.5,6.5,6,10912,1,1,2724,71.0,50.9,26.19,sedentary,1704,108.5,49.4,206.4
overweight,fat_loss,39,155,108.1,6.5,5,9165,0,0,2809,96.5,53.9,44.99,moderate,2534,212.2,69.5,264.9
skinny,recomposition,34,151,77.7,7.0,0,14486,1,1,3189,64.5,61.8,34.08,active,2756,157.7,79.6,352.2
skinny,fat_loss,23,184,99.5,8.3,5,6622,0,0,2935,106.0,56.7,29.39,light,2361,175.7,61.3,276.6
overweight,recomposition,21,171,55.6,6.6,1,12782,0,0,1845,83.2,105.9,19.01,active,2702,121.9,64.4,408.7
normal,recomposition,38,164,84.0,6.9,0,9799,1,1,2214,109.9,117.1,31.23,moderate,2518,177.9,74.9,283.1
overweight,fat_loss,26,190,103.2,5.3,6,3040,1,1,2820,124.2,79.5,28.59,moderate,2822,214.9,94.0,279.1
normal,fat_loss,26,176,56.7,6.3,6,11440,1,0,1993,60.6,101.8,18.3,sedentary,1473,91.3,38.9,189.4
skinny,muscle_gain,53,178,45.4,8.6,4,8574,0,1,1858,48.9,80.4,14.33,light,2098,82.7,49.6,330.2
skinny,recomposition,51,155,87.1,6.7,6,2131,0,0,2629,129.9,54.1,36.25,sedentary,1996,151.8,45.0,245.9
normal,recomposition,41,158,46.5,6.0,1,13281,0,1,2774,49.1,110.0,18.63,active,2207,92.5,53.6,338.6
normal,muscle_gain,43,152,48.2,7.9,3,2704,0,1,2726,47.3,69.1,20.86,moderate,2355,94.2,55.9,368.8
skinny,recomposition,38,168,93.6,8.9,2,13362,1,1,1974,75.9,89.3,33.16,sedentary,2244,180.5,59.6,246.4
normal,fat_loss,40,183,58.7,8.5,6,6636,1,1,2635,75.1,60.5,17.53,light,1685,115.6,38.4,219.2
normal,recomposition,44,174,45.8,8.9,3,3680,1,0,1842,37.0,81.4,15.13,active,2358,77.5,63.4,369.4
skinny,muscle_gain,43,151,53.5,6.4,0,7996,1,0,2753,45.3,66.1,23.46,light,2229,106.0,51.8,334.7
skinny,fat_loss,49,156,65.5,5.2,4,9209,0,1,2223,62.0,91.4,26.91,moderate,1776,122.2,44.7,221.2
overweight,fat_loss,42,166,92.6,6.5,0,13141,1,1,2811,82.1,115.4,33.6,moderate,2405,190.3,78.4,234.5
normal,muscle_gain,54,184,70.9,8.9,2,13771,1,0,3039,84.2,63.6,20.94,active,3131,143.8,86.8,443.6
skinny,fat_loss,53,179,70.7,8.8,2,13250,1,0,2986,96.2,56.2,22.07,active,2333,123.5,52.0,342.8
skinny,fat_loss,24,186,57.1,5.1,2,9085,1,0,2766,69.8,83.5,16.5,light,1751,95.9,49.9,229.6
skinny,muscle_gain,43,168,61.8,5.7,4,4185,1,0,2326,86.6,95.7,21.9,active,2881,105.0,79.2,437.0
skinny,fat_loss,33,189,105.6,5.6,5,10764,1,0,2760,86.1,56.6,29.56,light,2380,231.8,54.6,240.3
normal,muscle_gain,30,164,94.5,5.7,2,6806,0,0,2646,110.3,112.3,35.14,sedentary,2492,196.5,68.8,271.7
normal,muscle_gain,38,155,66.3,6.1,2,4078,1,0,2595,81.3,54.9,27.6,active,2936,144.2,69.3,433.9
normal,recomposition,18,175,96.3,8.9,1,13033,0,0,3079,110.3,82.7,31.44,light,2666,165.9,61.5,362.2
normal,fat_loss,50,152,107.1,6.6,2,13962,1,0,2581,89.6,76.5,46.36,light,2134,192.9,54.8,217.3
overweight,fat_loss,50,169,53.8,6.2,5,2615,1,1,3056,53.2,97.3,18.84,light,1444,101.4,44.3,159.9
skinny,fat_loss,50,160,72.8,6.7,2,11325,0,1,2143,78.9,106.3,28.44,sedentary,1310,159.4,38.3,81.9
normal,recomposition,43,166,106.5,7.9,2,11399,1,1,2703,100.8,86.6,38.65,active,3219,233.1,96.5,354.5
overweight,recomposition,54,181,93.7,8.4,5,6551,0,1,1848,123.5,112.2,28.6,active,3090,150.7,78.4,445.4
skinny,recomposition,31,159,98.5,8.1,3,6859,0,0,3165,96.5,76.7,38.96,light,2447,163.6,73.9,281.9
overweight,muscle_gain,55,184,97.4,5.3,6,3709,1,1,2152,78.2,55.1,28.77,light,3024,182.2,92.1,366.6
normal,fat_loss,28,158,104.1,8.3,4,13521,1,1,2277,135.4,102.3,41.7,light,2125,197.3,67.2,182.8
normal,recomposition,50,183,54.2,8.9,1,9376,1,0,1894,63.2,76.9,16.18,moderate,2152,118.8,52.6,300.9
skinny,recomposition,34,186,86.8,6.6,3,14248,1,1,2521,111.2,93.6,25.09,moderate,2936,179.2,77.9,379.5
normal,fat_loss,52,165,108.1,8.4,6,9287,0,0,2975,91.0,111.6,39.71,sedentary,1822,178.4,48.6,167.8
normal,muscle_gain,18,156,72.2,6.4,2,14000,1,1,2731,84.2,77.9,29.67,active,3163,148.1,82.9,456.1
skinny,fat_loss,49,172,51.5,8.9,2,9704,1,1,2340,57.3,86.5,17.41,sedentary,1214,107.4,38.5,109.5
skinny,fat_loss,36,153,68.2,6.7,2,6183,1,0,3006,67.0,103.9,29.13,moderate,1818,134.1,59.2,187.2
skinny,recomposition,18,159,97.1,8.3,1,10671,1,1,2971,133.5,110.7,38.41,light,2670,159.1,59.9,373.6
overweight,recomposition,33,176,57.6,8.5,2,6387,0,0,1885,47.9,98.6,18.6,active,2702,93.8,78.4,405.3
